cycle,avg_attention,avg_performance,is_break,high_attention_count
0,0.5667800737479949,0.5,true,12
1,0.6158896363815791,0.5035999999999999,true,12
2,0.659367753789528,0.5083999999999999,true,12
3,0.6992609513983322,0.5132,true,13
4,0.7372609513983321,0.518,true,13
5,0.7711840347229701,0.5232000000000001,true,15
6,0.8000637920701983,0.5284000000000001,true,16
7,0.8260637920701984,0.5344000000000001,true,18
8,0.8520637920701983,0.5408000000000001,true,21
9,0.8773788333812519,0.548,true,21
10,0.9013788333812519,0.5563999999999999,true,21
11,0.923379699910511,0.5648,true,23
12,0.9416490839572608,0.5732,true,23
13,0.9571656974534263,0.5824000000000001,true,23
14,0.9681549621491824,0.5916000000000001,true,25
15,0.9761549621491825,0.6008000000000001,false,25
16,0.9261549621491822,0.6100000000000001,false,25
17,0.8761549621491825,0.6192000000000001,false,23
18,0.8261549621491827,0.6276,false,23
19,0.7761549621491828,0.6276,false,23
20,0.7261549621491824,0.6276,false,21
21,0.6761549621491821,0.6276,false,0
22,0.6261549621491825,0.6276,false,0
23,0.5761549621491823,0.6276,false,0
24,0.5261549621491821,0.6276,false,0
25,0.47615496214918246,0.6276,false,0
26,0.4261549621491821,0.6276,false,0
27,0.37615496214918226,0.6276,false,0
28,0.3261549621491822,0.6276,false,0
29,0.2761549621491824,0.6276,false,0
30,0.22615496214918226,0.6276,true,0
31,0.2761549621491824,0.6276,true,0
32,0.3261549621491822,0.6276,true,0
33,0.37615496214918226,0.6276,true,0
34,0.4261549621491821,0.6276,true,0
35,0.47615496214918246,0.6276,true,0
36,0.5261549621491821,0.6276,true,0
37,0.5761549621491823,0.6276,true,0
38,0.6261549621491825,0.6276,true,0
39,0.6761549621491821,0.6276,true,0
40,0.7261549621491824,0.6276,true,21
41,0.7761549621491828,0.6276,true,23
42,0.8261549621491827,0.636,true,23
43,0.8761549621491825,0.6452000000000002,true,23
44,0.9261549621491822,0.6544000000000003,true,25
45,0.9761549621491825,0.6636000000000003,false,25
46,0.9261549621491822,0.6728000000000003,false,25
47,0.8761549621491825,0.682,false,23
48,0.8261549621491827,0.6904000000000002,false,23
49,0.7761549621491828,0.6904000000000002,false,23
50,0.7261549621491824,0.6904000000000002,false,21
51,0.6761549621491821,0.6904000000000002,false,0
52,0.6261549621491825,0.6904000000000002,false,0
53,0.5761549621491823,0.6904000000000002,false,0
54,0.5261549621491821,0.6904000000000002,false,0
55,0.47615496214918246,0.6904000000000002,false,0
56,0.4261549621491821,0.6904000000000002,false,0
57,0.37615496214918226,0.6904000000000002,false,0
58,0.3261549621491822,0.6904000000000002,false,0
59,0.2761549621491824,0.6904000000000002,false,0
60,0.22615496214918226,0.6904000000000002,true,0
61,0.2761549621491824,0.6904000000000002,true,0
62,0.3261549621491822,0.6904000000000002,true,0
63,0.37615496214918226,0.6904000000000002,true,0
64,0.4261549621491821,0.6904000000000002,true,0
65,0.47615496214918246,0.6904000000000002,true,0
66,0.5261549621491821,0.6904000000000002,true,0
67,0.5761549621491823,0.6904000000000002,true,0
68,0.6261549621491825,0.6904000000000002,true,0
